Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.37,-.53,-.25,-.31,-.07,-.17,-.20,-.28,-.25,-.33,-.44,-.44,-.30,,,-.21,-.22,-.34
1881,-.31,-.26,-.07,-.02,.03,-.34,.09,-.06,-.28,-.44,-.38,-.24,-.19,-.21,-.34,-.02,-.10,-.37
1882,.25,.20,.01,-.31,-.24,-.30,-.29,-.17,-.26,-.53,-.34,-.70,-.22,-.18,.07,-.18,-.25,-.38
1883,-.58,-.66,-.16,-.30,-.25,-.12,-.07,-.23,-.34,-.16,-.45,-.16,-.29,-.33,-.65,-.24,-.14,-.32
1884,-.17,-.11,-.65,-.59,-.36,-.42,-.41,-.51,-.45,-.45,-.58,-.47,-.43,-.41,-.15,-.53,-.45,-.49
1885,-1.02,-.46,-.25,-.49,-.59,-.45,-.35,-.42,-.40,-.37,-.39,-.11,-.44,-.47,-.65,-.44,-.41,-.38
1886,-.75,-.84,-.72,-.37,-.34,-.38,-.16,-.44,-.33,-.32,-.41,-.21,-.44,-.43,-.57,-.48,-.33,-.35
1887,-1.08,-.70,-.44,-.38,-.26,-.22,-.24,-.55,-.21,-.49,-.27,-.44,-.44,-.42,-.67,-.36,-.34,-.32
1888,-.48,-.62,-.64,-.22,-.16,-.04,-.01,-.22,-.20,-.04,-.01,-.24,-.24,-.26,-.51,-.34,-.09,-.08
1889,-.28,.28,-.02,.15,-.05,-.08,-.09,-.21,-.30,-.42,-.62,-.55,-.18,-.16,-.08,.03,-.13,-.45
1890,-.64,-.58,-.48,-.26,-.36,-.17,-.25,-.40,-.36,-.10,-.64,-.48,-.39,-.40,-.59,-.37,-.27,-.37
1891,-.46,-.67,-.16,-.36,-.16,-.14,-.13,-.13,-.08,-.28,-.53,-.03,-.26,-.30,-.54,-.22,-.13,-.30
1892,-.50,-.19,-.67,-.45,-.23,-.05,-.38,-.33,-.21,-.27,-.83,-.68,-.40,-.34,-.24,-.45,-.26,-.44
1893,-1.51,-.97,-.33,-.30,-.44,-.18,-.14,-.35,-.28,-.28,-.34,-.61,-.48,-.48,-1.05,-.36,-.22,-.30
1894,-.92,-.43,-.22,-.54,-.26,-.41,-.21,-.27,-.33,-.28,-.48,-.36,-.39,-.41,-.65,-.34,-.30,-.36
1895,-.70,-.81,-.50,-.19,-.31,-.21,-.19,-.28,-.06,-.09,-.14,-.24,-.31,-.32,-.62,-.33,-.23,-.09
1896,-.37,-.19,-.50,-.61,-.17,.07,-.01,-.12,-.13,.04,-.21,-.22,-.20,-.20,-.26,-.43,-.02,-.10
1897,-.39,-.42,-.40,-.06,.12,-.07,.03,-.07,-.07,-.16,-.27,-.30,-.17,-.16,-.34,-.11,-.04,-.17
1898,.03,-.46,-.80,-.27,-.28,-.09,-.12,-.18,-.19,-.38,-.50,-.28,-.29,-.29,-.25,-.45,-.13,-.36
1899,-.13,-.63,-.59,-.23,-.25,-.36,-.16,-.05,-.04,.05,.35,-.47,-.21,-.19,-.35,-.36,-.19,.12
1900,-.63,-.15,.05,-.11,-.04,-.11,-.12,-.09,-.03,.23,-.13,-.03,-.10,-.13,-.42,-.03,-.11,.02
