Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,.00,.04,.06,-.01,-.12,-.24,-.16,.07,-.04,-.14,.00,.06,-.04,,,-.02,-.11,-.06
1881,-.08,-.06,.10,.10,.09,-.04,-.07,-.01,-.03,.00,.00,.10,.01,.00,-.03,.10,-.04,-.01
1882,.07,.08,.08,-.01,-.03,-.14,-.03,.02,-.03,.04,-.01,-.06,.00,.01,.08,.01,-.05,.00
1883,-.02,-.08,-.08,-.07,-.09,-.01,-.07,-.04,-.10,-.05,-.04,-.05,-.06,-.06,-.05,-.08,-.04,-.06
1884,-.08,-.05,-.09,-.21,-.31,-.28,-.20,-.06,-.10,-.06,-.10,-.14,-.14,-.13,-.06,-.20,-.18,-.08
1885,-.19,-.22,-.29,-.35,-.32,-.41,-.32,-.21,-.18,-.12,-.11,-.09,-.23,-.24,-.19,-.32,-.32,-.14
1886,-.14,-.19,-.16,-.19,-.15,-.31,-.20,-.18,-.14,-.23,-.15,-.28,-.19,-.18,-.14,-.17,-.23,-.17
1887,-.36,-.43,-.27,-.30,-.34,-.27,-.26,-.16,-.29,-.21,-.24,-.22,-.28,-.28,-.36,-.30,-.23,-.25
1888,-.20,-.12,-.21,-.19,-.28,-.30,-.19,-.09,-.04,.07,.07,.15,-.11,-.14,-.18,-.23,-.20,.03
1889,.08,.04,.13,.03,.02,-.12,-.06,-.19,-.16,-.09,-.06,-.03,-.03,-.02,.09,.06,-.12,-.10
1890,-.20,-.32,-.33,-.34,-.43,-.32,-.31,-.38,-.37,-.39,-.25,-.16,-.32,-.31,-.18,-.37,-.34,-.34
1891,-.21,-.25,-.20,-.19,-.17,-.28,-.22,-.21,-.23,-.15,-.10,-.05,-.19,-.20,-.20,-.18,-.24,-.16
1892,-.08,-.05,-.13,-.21,-.22,-.37,-.24,-.20,-.12,.00,-.03,-.11,-.15,-.14,-.06,-.19,-.27,-.05
1893,-.12,-.17,-.12,-.24,-.24,-.31,-.13,-.16,-.16,-.08,-.03,-.02,-.15,-.16,-.14,-.20,-.20,-.09
1894,-.14,-.15,-.24,-.35,-.35,-.39,-.26,-.20,-.22,-.17,-.03,-.06,-.21,-.21,-.10,-.31,-.28,-.14
1895,-.12,-.05,-.16,-.24,-.23,-.20,-.14,-.05,-.17,-.11,-.20,-.05,-.14,-.15,-.08,-.21,-.13,-.16
1896,-.08,-.07,-.03,-.01,-.15,-.28,-.04,.01,-.02,.09,.12,.13,-.03,-.04,-.07,-.06,-.10,.07
1897,.09,.08,.12,.00,-.16,-.15,-.07,-.11,-.09,-.09,-.10,-.12,-.05,-.03,.10,-.01,-.11,-.09
1898,-.09,-.16,-.23,-.33,-.33,-.29,-.32,-.35,-.25,-.31,-.26,-.20,-.26,-.25,-.12,-.30,-.32,-.27
1899,-.20,-.13,-.14,-.17,-.21,-.26,-.15,-.10,-.05,-.11,-.09,-.06,-.14,-.15,-.17,-.17,-.17,-.08
1900,-.10,.03,-.05,-.08,-.13,-.08,-.13,-.08,-.06,-.02,.00,-.10,-.07,-.06,-.04,-.08,-.10,-.02
1901,-.11,-.12,-.14,-.15,-.18,-.24,-.28,-.23,-.16,-.25,-.13,-.14,-.18,-.17,-.11,-.16,-.25,-.18
1902,-.18,-.14,-.17,-.18,-.24,-.21,-.21,-.30,-.24,-.26,-.26,-.23,-.22,-.21,-.16,-.20,-.24,-.25
1903,-.24,-.22,-.30,-.36,-.36,-.39,-.27,-.35,-.50,-.48,-.44,-.46,-.36,-.34,-.23,-.34,-.34,-.47
1904,-.52,-.57,-.57,-.51,-.59,-.48,-.43,-.43,-.48,-.39,-.26,-.32,-.46,-.47,-.52,-.56,-.45,-.38
1905,-.28,-.36,-.21,-.22,-.29,-.26,-.29,-.16,-.18,-.21,-.21,-.08,-.23,-.25,-.32,-.24,-.24,-.20
1906,.01,-.05,-.17,-.15,-.27,-.27,-.19,-.23,-.32,-.24,-.36,-.34,-.22,-.19,-.04,-.20,-.23,-.31
1907,-.28,-.30,-.25,-.30,-.35,-.33,-.31,-.30,-.29,-.26,-.37,-.36,-.31,-.31,-.31,-.30,-.31,-.31
1908,-.35,-.38,-.41,-.41,-.47,-.47,-.35,-.35,-.41,-.44,-.41,-.44,-.41,-.40,-.37,-.43,-.39,-.42
1909,-.51,-.47,-.42,-.53,-.60,-.52,-.45,-.32,-.41,-.46,-.53,-.56,-.48,-.47,-.47,-.51,-.43,-.47
1910,-.49,-.45,-.52,-.45,-.39,-.32,-.31,-.34,-.35,-.51,-.53,-.53,-.43,-.43,-.50,-.46,-.32,-.46
1911,-.53,-.56,-.58,-.62,-.57,-.66,-.46,-.44,-.43,-.33,-.22,-.11,-.46,-.49,-.54,-.59,-.52,-.33
1912,-.15,-.12,-.15,-.19,-.29,-.32,-.32,-.30,-.34,-.30,-.26,-.30,-.25,-.24,-.13,-.21,-.31,-.30
1913,-.25,-.25,-.38,-.29,-.33,-.40,-.20,-.20,-.27,-.24,-.24,-.15,-.27,-.28,-.27,-.33,-.26,-.25
1914,-.08,-.09,-.12,-.20,-.23,-.27,-.13,-.05,-.03,-.05,-.08,-.02,-.11,-.12,-.11,-.18,-.15,-.05
1915,-.14,.02,.04,.06,-.10,-.30,-.13,-.28,-.19,-.21,-.23,-.19,-.14,-.12,-.05,.00,-.24,-.21
1916,-.16,-.13,-.18,-.27,-.34,-.47,-.40,-.20,-.24,-.33,-.49,-.52,-.31,-.28,-.16,-.26,-.36,-.35
1917,-.64,-.59,-.54,-.47,-.39,-.39,-.19,-.06,-.16,-.27,-.37,-.30,-.36,-.38,-.58,-.47,-.21,-.27
1918,-.28,-.24,-.26,-.31,-.38,-.28,-.29,-.27,-.09,-.06,.02,-.01,-.20,-.23,-.27,-.32,-.28,-.05
1919,-.01,-.05,-.03,-.02,-.13,-.31,-.25,-.38,-.31,-.31,-.35,-.29,-.20,-.18,-.02,-.06,-.31,-.33
1920,-.34,-.24,-.25,-.28,-.33,-.44,-.34,-.20,-.07,-.13,-.08,-.21,-.24,-.25,-.29,-.28,-.33,-.10
1921,-.29,-.28,-.36,-.44,-.36,-.38,-.26,-.22,-.19,-.04,-.17,-.22,-.27,-.27,-.26,-.39,-.28,-.13
1922,-.28,-.25,-.19,-.30,-.47,-.45,-.27,-.29,-.29,-.33,-.17,-.24,-.29,-.29,-.25,-.32,-.34,-.26
1923,-.37,-.32,-.29,-.28,-.28,-.33,-.32,-.38,-.43,-.32,-.19,-.17,-.31,-.31,-.31,-.28,-.34,-.31
1924,-.16,-.25,-.18,-.33,-.30,-.32,-.34,-.45,-.41,-.47,-.53,-.51,-.35,-.32,-.19,-.27,-.37,-.47
1925,-.50,-.43,-.32,-.35,-.36,-.38,-.26,-.20,-.33,-.24,-.11,-.08,-.30,-.33,-.48,-.35,-.28,-.23
1926,-.11,-.12,-.15,-.11,-.22,-.29,-.32,-.19,-.23,-.27,-.28,-.28,-.21,-.20,-.10,-.16,-.27,-.26
1927,-.25,-.27,-.30,-.35,-.38,-.40,-.29,-.30,-.27,-.24,-.19,-.26,-.29,-.29,-.27,-.34,-.33,-.23
1928,-.28,-.26,-.26,-.23,-.41,-.43,-.28,-.25,-.26,-.29,-.22,-.29,-.29,-.29,-.27,-.30,-.32,-.26
1929,-.33,-.36,-.46,-.47,-.48,-.47,-.38,-.43,-.29,-.26,-.19,-.41,-.38,-.37,-.33,-.47,-.42,-.25
1930,-.47,-.34,-.33,-.34,-.28,-.31,-.36,-.30,-.27,-.23,-.07,-.17,-.29,-.31,-.41,-.32,-.32,-.19
1931,-.18,-.15,-.12,-.23,-.22,-.28,-.13,-.15,-.28,-.24,-.36,-.19,-.21,-.21,-.17,-.19,-.19,-.30
1932,-.09,-.15,-.16,-.21,-.24,-.41,-.33,-.34,-.30,-.30,-.21,-.30,-.25,-.25,-.15,-.20,-.36,-.27
1933,-.27,-.28,-.27,-.31,-.32,-.36,-.29,-.32,-.31,-.32,-.38,-.35,-.31,-.31,-.28,-.30,-.32,-.34
1934,-.30,-.40,-.32,-.33,-.27,-.27,-.16,-.14,-.16,-.25,-.20,-.22,-.25,-.26,-.35,-.31,-.19,-.21
1935,-.26,-.30,-.31,-.38,-.28,-.38,-.38,-.36,-.35,-.22,-.19,-.16,-.30,-.30,-.26,-.33,-.37,-.25
1936,-.26,-.24,-.28,-.34,-.31,-.47,-.28,-.28,-.24,-.12,-.12,-.17,-.26,-.26,-.22,-.31,-.34,-.16
1937,-.23,-.18,-.18,-.25,-.23,-.24,-.21,-.12,-.10,-.16,-.08,-.14,-.18,-.18,-.20,-.22,-.19,-.11
1938,-.19,-.22,-.16,-.20,-.23,-.28,-.18,-.21,-.16,-.04,-.18,-.14,-.18,-.18,-.18,-.19,-.22,-.13
1939,-.15,-.13,-.12,-.13,-.10,-.14,-.16,-.19,-.27,-.15,-.10,.09,-.13,-.15,-.14,-.12,-.16,-.17
1940,.11,.03,.16,.08,.06,.07,.10,.09,.07,-.03,.06,.29,.09,.07,.08,.10,.09,.03
1941,.19,.16,.10,.22,.13,.08,.21,.13,-.03,.22,.28,.25,.16,.16,.21,.15,.14,.16
1942,.18,.14,.11,.10,.06,.00,.00,.00,-.17,-.26,-.09,-.04,.00,.03,.19,.09,.00,-.17
1943,.06,-.05,-.08,-.11,-.11,-.04,.18,-.09,-.04,-.01,.03,.08,-.01,-.02,-.01,-.10,.02,-.01
1944,.08,.04,.21,.21,.14,.16,.23,.22,.20,.09,.03,.09,.14,.14,.07,.18,.20,.11
1945,.10,.08,.03,.09,.04,-.05,.02,.24,.21,.13,.07,.08,.09,.09,.09,.06,.07,.14
